Date;Number Fixed Bugs;Media;Upper bound;Lower bound;Dev standard
2014-8;2;4,263157895;13,32590906;-4,799593268;3,020917054
2014-9;3;4,263157895;13,32590906;-4,799593268;3,020917054
2014-10;1;4,263157895;13,32590906;-4,799593268;3,020917054
2014-11;1;4,263157895;13,32590906;-4,799593268;3,020917054
2015-2;1;4,263157895;13,32590906;-4,799593268;3,020917054
2015-3;11;4,263157895;13,32590906;-4,799593268;3,020917054
2015-4;8;4,263157895;13,32590906;-4,799593268;3,020917054
2015-5;5;4,263157895;13,32590906;-4,799593268;3,020917054
2015-6;9;4,263157895;13,32590906;-4,799593268;3,020917054
2015-7;15;4,263157895;13,32590906;-4,799593268;3,020917054
2015-8;1;4,263157895;13,32590906;-4,799593268;3,020917054
2015-9;5;4,263157895;13,32590906;-4,799593268;3,020917054
2015-10;4;4,263157895;13,32590906;-4,799593268;3,020917054
2015-11;1;4,263157895;13,32590906;-4,799593268;3,020917054
2015-12;7;4,263157895;13,32590906;-4,799593268;3,020917054
2016-1;5;4,263157895;13,32590906;-4,799593268;3,020917054
2016-2;9;4,263157895;13,32590906;-4,799593268;3,020917054
2016-3;2;4,263157895;13,32590906;-4,799593268;3,020917054
2016-4;6;4,263157895;13,32590906;-4,799593268;3,020917054
2016-5;2;4,263157895;13,32590906;-4,799593268;3,020917054
2016-6;4;4,263157895;13,32590906;-4,799593268;3,020917054
2016-7;4;4,263157895;13,32590906;-4,799593268;3,020917054
2016-8;3;4,263157895;13,32590906;-4,799593268;3,020917054
2016-9;3;4,263157895;13,32590906;-4,799593268;3,020917054
2016-10;8;4,263157895;13,32590906;-4,799593268;3,020917054
2016-11;2;4,263157895;13,32590906;-4,799593268;3,020917054
2016-12;3;4,263157895;13,32590906;-4,799593268;3,020917054
2017-1;5;4,263157895;13,32590906;-4,799593268;3,020917054
2017-4;1;4,263157895;13,32590906;-4,799593268;3,020917054
2017-5;3;4,263157895;13,32590906;-4,799593268;3,020917054
2017-6;3;4,263157895;13,32590906;-4,799593268;3,020917054
2017-10;1;4,263157895;13,32590906;-4,799593268;3,020917054
2017-11;3;4,263157895;13,32590906;-4,799593268;3,020917054
2018-1;8;4,263157895;13,32590906;-4,799593268;3,020917054
2018-2;2;4,263157895;13,32590906;-4,799593268;3,020917054
2018-3;3;4,263157895;13,32590906;-4,799593268;3,020917054
2018-4;2;4,263157895;13,32590906;-4,799593268;3,020917054
2018-5;5;4,263157895;13,32590906;-4,799593268;3,020917054
2018-6;5;4,263157895;13,32590906;-4,799593268;3,020917054
2018-7;2;4,263157895;13,32590906;-4,799593268;3,020917054
2018-8;8;4,263157895;13,32590906;-4,799593268;3,020917054
2018-9;4;4,263157895;13,32590906;-4,799593268;3,020917054
2018-10;2;4,263157895;13,32590906;-4,799593268;3,020917054
2018-11;8;4,263157895;13,32590906;-4,799593268;3,020917054
2018-12;1;4,263157895;13,32590906;-4,799593268;3,020917054
2019-1;4;4,263157895;13,32590906;-4,799593268;3,020917054
2019-2;10;4,263157895;13,32590906;-4,799593268;3,020917054
2019-3;2;4,263157895;13,32590906;-4,799593268;3,020917054
2019-5;3;4,263157895;13,32590906;-4,799593268;3,020917054
2019-7;6;4,263157895;13,32590906;-4,799593268;3,020917054
2019-8;1;4,263157895;13,32590906;-4,799593268;3,020917054
2019-9;4;4,263157895;13,32590906;-4,799593268;3,020917054
2019-10;3;4,263157895;13,32590906;-4,799593268;3,020917054
2019-11;2;4,263157895;13,32590906;-4,799593268;3,020917054
2020-1;4;4,263157895;13,32590906;-4,799593268;3,020917054
2020-2;9;4,263157895;13,32590906;-4,799593268;3,020917054
2020-3;4;4,263157895;13,32590906;-4,799593268;3,020917054
